Reference:,,,,,,https://docs.okd.io/latest/rest_api/apis-apps/v1.Deployment.html

Field,,,,,,,,,,,Use,Reserve,Reserve,Type,Description
,,,,,requiredDuringSchedulingIgnoredDuringExecution,,,,,,,,,array, If the affinity requirements specified by this field are not met at scheduling time�C the pod will not be scheduled onto the node. If the affinity requirements specified by this field cease to be met at some point during pod execution (e.g. due to a pod label update)�C the system may or may not try to eventually evict the pod from its node. When there are multiple elements�C the lists of nodes corresponding to each podAffinityTerm are intersected�C i.e. all terms must be satisfied.
,,,,,,labelSelector,,,,,,,,v1.LabelSelector, A label query over a set of resources�C in this case pods.
,,,,,,,matchExpressions,,,,,,,array, matchExpressions is a list of label selector requirements. The requirements are ANDed.
,,,,,,,,key,,,,,,string, key is the label key that the selector applies to.
,,,,,,,,operator,,,,,,string, operator represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists and DoesNotExist.
,,,,,,,,values,,,,,,array, values is an array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. This array is replaced during a strategic merge patch.
,,,,,,,,,[string],,,,,string, 
,,,,,,,matchLabels,,,,,,,object, matchLabels is a map of {key�Cvalue} pairs. A single {key�Cvalue} in the matchLabels map is equivalent to an element of matchExpressions�C whose key field is &quot;key&quot;�C the operator is &quot;In&quot;�C and the values array contains only &quot;value&quot;. The requirements are ANDed.
,,,,,,,,[string],,,,,,string, 
,,,,,,namespaces,,,,,,,,array, namespaces specifies which namespaces the labelSelector applies to (matches against); null or empty list means &quot;this pod&apos;s namespace&quot;
,,,,,,,[string],,,,,,,string, 
,,,,,,topologyKey,,,,,,,,string, This pod should be co-located (affinity) or not co-located (anti-affinity) with the pods matching the labelSelector in the specified namespaces�C where co-located is defined as running on a node whose value of the label with key topologyKey matches that of any node on which any of the selected pods is running. Empty topologyKey is not allowed.
,,,,podAntiAffinity,,,,,,,,,,v1.PodAntiAffinity, Describes pod anti-affinity scheduling rules (e.g. avoid putting this pod in the same node�C zone�C etc. as some other pod(s)).
,,,,,preferredDuringSchedulingIgnoredDuringExecution,,,,,,,,,array, The scheduler will prefer to schedule pods to nodes that satisfy the anti-affinity expressions specified by this field�C but it may choose a node that violates one or more of the expressions. The node that is most preferred is the one with the greatest sum of weights�C i.e. for each node that meets all of the scheduling requirements (resource request�C requiredDuringScheduling anti-affinity expressions�C etc.)�C compute a sum by iterating through the elements of this field and adding &quot;weight&quot; to the sum if the node has pods which matches the corresponding podAffinityTerm; the node(s) with the highest sum are the most preferred.
,,,,,,podAffinityTerm,,,,,,,,v1.PodAffinityTerm, Required. A pod affinity term�C associated with the corresponding weight.
,,,,,,,labelSelector,,,,,,,v1.LabelSelector, A label query over a set of resources�C in this case pods.
,,,,,,,,matchExpressions,,,,,,array, matchExpressions is a list of label selector requirements. The requirements are ANDed.
,,,,,,,,,key,,,,,string, key is the label key that the selector applies to.
,,,,,,,,,operator,,,,,string, operator represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists and DoesNotExist.
,,,,,,,,,values,,,,,array, values is an array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. This array is replaced during a strategic merge patch.
,,,,,,,,,,[string],,,,string, 
,,,,,,,,matchLabels,,,,,,object, matchLabels is a map of {key�Cvalue} pairs. A single {key�Cvalue} in the matchLabels map is equivalent to an element of matchExpressions�C whose key field is &quot;key&quot;�C the operator is &quot;In&quot;�C and the values array contains only &quot;value&quot;. The requirements are ANDed.
,,,,,,,,,[string],,,,,string, 
,,,,,,,namespaces,,,,,,,array, namespaces specifies which namespaces the labelSelector applies to (matches against); null or empty list means &quot;this pod&apos;s namespace&quot;
,,,,,,,,[string],,,,,,string, 
,,,,,,,topologyKey,,,,,,,string, This pod should be co-located (affinity) or not co-located (anti-affinity) with the pods matching the labelSelector in the specified namespaces�C where co-located is defined as running on a node whose value of the label with key topologyKey matches that of any node on which any of the selected pods is running. Empty topologyKey is not allowed.
,,,,,,weight,,,,,,,,integer, weight associated with matching the corresponding podAffinityTerm�C in the range 1-100.
,,,,,requiredDuringSchedulingIgnoredDuringExecution,,,,,,,,,array, If the anti-affinity requirements specified by this field are not met at scheduling time�C the pod will not be scheduled onto the node. If the anti-affinity requirements specified by this field cease to be met at some point during pod execution (e.g. due to a pod label update)�C the system may or may not try to eventually evict the pod from its node. When there are multiple elements�C the lists of nodes corresponding to each podAffinityTerm are intersected�C i.e. all terms must be satisfied.
,,,,,,labelSelector,,,,,,,,v1.LabelSelector, A label query over a set of resources�C in this case pods.
,,,,,,,matchExpressions,,,,,,,array, matchExpressions is a list of label selector requirements. The requirements are ANDed.
,,,,,,,,key,,,,,,string, key is the label key that the selector applies to.
,,,,,,,,operator,,,,,,string, operator represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists and DoesNotExist.
,,,,,,,,values,,,,,,array, values is an array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. This array is replaced during a strategic merge patch.
,,,,,,,,,[string],,,,,string, 
,,,,,,,matchLabels,,,,,,,object, matchLabels is a map of {key�Cvalue} pairs. A single {key�Cvalue} in the matchLabels map is equivalent to an element of matchExpressions�C whose key field is &quot;key&quot;�C the operator is &quot;In&quot;�C and the values array contains only &quot;value&quot;. The requirements are ANDed.
,,,,,,,,[string],,,,,,string, 
,,,,,,namespaces,,,,,,,,array, namespaces specifies which namespaces the labelSelector applies to (matches against); null or empty list means &quot;this pod&apos;s namespace&quot;
,,,,,,,[string],,,,,,,string, 
,,,,,,topologyKey,,,,,,,,string, This pod should be co-located (affinity) or not co-located (anti-affinity) with the pods matching the labelSelector in the specified namespaces�C where co-located is defined as running on a node whose value of the label with key topologyKey matches that of any node on which any of the selected pods is running. Empty topologyKey is not allowed.
,,,automountServiceAccountToken,,,,,,,,,,,boolean, AutomountServiceAccountToken indicates whether a service account token should be automatically mounted.
,,,containers,,,,,,,,,,,array, List of containers belonging to the pod. Containers cannot currently be added or removed. There must be at least one container in a Pod. Cannot be updated.
,,,,args,,,,,,,,,,array, Arguments to the entrypoint. The docker image&apos;s CMD is used if this is not provided. Variable references $(VAR_NAME) are expanded using the container&apos;s environment. If a variable cannot be resolved�C the reference in the input string will be unchanged. The $(VAR_NAME) syntax can be escaped with a double $$�C ie: $$(VAR_NAME). Escaped references will never be expanded�C regardless of whether the variable exists or not. Cannot be updated. More info: https://kubernetes.io/docs/tasks/inject-data-application/define-command-argument-container/#running-a-command-in-a-shell
,,,,,[string],,,,,,,,,string, 
,,,,command,,,,,,,,,,array, Entrypoint array. Not executed within a shell. The docker image&apos;s ENTRYPOINT is used if this is not provided. Variable references $(VAR_NAME) are expanded using the container&apos;s environment. If a variable cannot be resolved�C the reference in the input string will be unchanged. The $(VAR_NAME) syntax can be escaped with a double $$�C ie: $$(VAR_NAME). Escaped references will never be expanded�C regardless of whether the variable exists or not. Cannot be updated. More info: https://kubernetes.io/docs/tasks/inject-data-application/define-command-argument-container/#running-a-command-in-a-shell
,,,,,[string],,,,,,,,,string, 
,,,,env,,,,,,,,,,array, List of environment variables to set in the container. Cannot be updated.
,,,,,name,,,,,,,,,string, Name of the environment variable. Must be a C_IDENTIFIER.
,,,,,value,,,,,,,,,string, Variable references $(VAR_NAME) are expanded using the previous defined environment variables in the container and any service environment variables. If a variable cannot be resolved�C the reference in the input string will be unchanged. The $(VAR_NAME) syntax can be escaped with a double $$�C ie: $$(VAR_NAME). Escaped references will never be expanded�C regardless of whether the variable exists or not. Defaults to &quot;&quot;.
,,,,,valueFrom,,,,,,,,,v1.EnvVarSource, Source for the environment variable&apos;s value. Cannot be used if value is not empty.
,,,,,,configMapKeyRef,,,,,,,,v1.ConfigMapKeySelector, Selects a key of a ConfigMap.
,,,,,,,key,,,,,,,string, The key to select.
,,,,,,,name,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,,optional,,,,,,,boolean, Specify whether the ConfigMap or it&apos;s key must be defined
,,,,,,fieldRef,,,,,,,,v1.ObjectFieldSelector, Selects a field of the pod: supports metadata.name�C metadata.namespace�C metadata.labels�C metadata.annotations�C spec.nodeName�C spec.serviceAccountName�C status.hostIP�C status.podIP.
,,,,,,,apiVersion,,,,,,,string, Version of the schema the FieldPath is written in terms of�C defaults to &quot;v1&quot;.
,,,,,,,fieldPath,,,,,,,string, Path of the field to select in the specified API version.
,,,,,,resourceFieldRef,,,,,,,,v1.ResourceFieldSelector, Selects a resource of the container: only resources limits and requests (limits.cpu�C limits.memory�C limits.ephemeral-storage�C requests.cpu�C requests.memory and requests.ephemeral-storage) are currently supported.
,,,,,,,containerName,,,,,,,string, Container name: required for volumes�C optional for env vars
,,,,,,,divisor,,,,,,,resource.Quantity, Specifies the output format of the exposed resources�C defaults to &quot;1&quot;
,,,,,,,resource,,,,,,,string, Required: resource to select
,,,,,,secretKeyRef,,,,,,,,v1.SecretKeySelector, Selects a key of a secret in the pod&apos;s namespace
,,,,,,,key,,,,,,,string, The key of the secret to select from.  Must be a valid secret key.
,,,,,,,name,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,,optional,,,,,,,boolean, Specify whether the Secret or it&apos;s key must be defined
,,,,envFrom,,,,,,,,,,array, List of sources to populate environment variables in the container. The keys defined within a source must be a C_IDENTIFIER. All invalid keys will be reported as an event when the container is starting. When a key exists in multiple sources�C the value associated with the last source will take precedence. Values defined by an Env with a duplicate key will take precedence. Cannot be updated.
,,,,,configMapRef,,,,,,,,,v1.ConfigMapEnvSource, The ConfigMap to select from
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,optional,,,,,,,,boolean, Specify whether the ConfigMap must be defined
,,,,,prefix,,,,,,,,,string, An optional identifier to prepend to each key in the ConfigMap. Must be a C_IDENTIFIER.
,,,,,secretRef,,,,,,,,,v1.SecretEnvSource, The Secret to select from
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,optional,,,,,,,,boolean, Specify whether the Secret must be defined
,,,,image,,,,,,,,,,string, Docker image name. More info: https://kubernetes.io/docs/concepts/containers/images This field is optional to allow higher level config management to default or override container images in workload controllers like Deployments and StatefulSets.
,,,,imagePullPolicy,,,,,,,,,,string, Image pull policy. One of Always�C Never�C IfNotPresent. Defaults to Always if :latest tag is specified�C or IfNotPresent otherwise. Cannot be updated. More info: https://kubernetes.io/docs/concepts/containers/images#updating-images
,,,,lifecycle,,,,,,,,,,v1.Lifecycle, Actions that the management system should take in response to container lifecycle events. Cannot be updated.
,,,,,postStart,,,,,,,,,v1.Handler, PostStart is called immediately after a container is created. If the handler fails�C the container is terminated and restarted according to its restart policy. Other management of the container blocks until the hook completes. More info: https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/#container-hooks
,,,,,,exec,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,,command,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,,[string],,,,,,string, 
,,,,,,httpGet,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,,host,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,,httpHeaders,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,,name,,,,,,string, The header field name
,,,,,,,,value,,,,,,string, The header field value
,,,,,,,path,,,,,,,string, Path to access on the HTTP server.
,,,,,,,port,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,,scheme,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,,tcpSocket,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,,host,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,,port,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,preStop,,,,,,,,,v1.Handler, PreStop is called immediately before a container is terminated. The container is terminated after the handler completes. The reason for termination is passed to the handler. Regardless of the outcome of the handler�C the container is eventually terminated. Other management of the container blocks until the hook completes. More info: https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/#container-hooks
,,,,,,exec,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,,command,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,,[string],,,,,,string, 
,,,,,,httpGet,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,,host,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,,httpHeaders,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,,name,,,,,,string, The header field name
,,,,,,,,value,,,,,,string, The header field value
,,,,,,,path,,,,,,,string, Path to access on the HTTP server.
,,,,,,,port,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,,scheme,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,,tcpSocket,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,,host,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,,port,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,livenessProbe,,,,,,,,,,v1.Probe, Periodic probe of container liveness. Container will be restarted if the probe fails. Cannot be updated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,exec,,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,command,,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,[string],,,,,,,string, 
,,,,,failureThreshold,,,,,,,,,integer, Minimum consecutive failures for the probe to be considered failed after having succeeded. Defaults to 3. Minimum value is 1.
,,,,,httpGet,,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,host,,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,httpHeaders,,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,name,,,,,,,string, The header field name
,,,,,,,value,,,,,,,string, The header field value
,,,,,,path,,,,,,,,string, Path to access on the HTTP server.
,,,,,,port,,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,scheme,,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,initialDelaySeconds,,,,,,,,,integer, Number of seconds after the container has started before liveness probes are initiated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,periodSeconds,,,,,,,,,integer, How often (in seconds) to perform the probe. Default to 10 seconds. Minimum value is 1.
,,,,,successThreshold,,,,,,,,,integer, Minimum consecutive successes for the probe to be considered successful after having failed. Defaults to 1. Must be 1 for liveness. Minimum value is 1.
,,,,,tcpSocket,,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,host,,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,port,,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,timeoutSeconds,,,,,,,,,integer, Number of seconds after which the probe times out. Defaults to 1 second. Minimum value is 1. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,name,,,,,,,,,,string, Name of the container specified as a DNS_LABEL. Each container in a pod must have a unique name (DNS_LABEL). Cannot be updated.
,,,,ports,,,,,,,,,,array, List of ports to expose from the container. Exposing a port here gives the system additional information about the network connections a container uses�C but is primarily informational. Not specifying a port here DOES NOT prevent that port from being exposed. Any port which is listening on the default &quot;0.0.0.0&quot; address inside a container will be accessible from the network. Cannot be updated.
,,,,,containerPort,,,,,,,,,integer, Number of port to expose on the pod&apos;s IP address. This must be a valid port number�C 0 &lt; x &lt; 65536.
,,,,,hostIP,,,,,,,,,string, What host IP to bind the external port to.
,,,,,hostPort,,,,,,,,,integer, Number of port to expose on the host. If specified�C this must be a valid port number�C 0 &lt; x &lt; 65536. If HostNetwork is specified�C this must match ContainerPort. Most containers do not need this.
,,,,,name,,,,,,,,,string, If specified�C this must be an IANA_SVC_NAME and unique within the pod. Each named port in a pod must have a unique name. Name for the port that can be referred to by services.
,,,,,protocol,,,,,,,,,string, Protocol for port. Must be UDP or TCP. Defaults to &quot;TCP&quot;.
,,,,readinessProbe,,,,,,,,,,v1.Probe, Periodic probe of container service readiness. Container will be removed from service endpoints if the probe fails. Cannot be updated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,exec,,,,,,,,,v1.ExecAction, One and only one of the following should be specified. Exec specifies the action to take.
,,,,,,command,,,,,,,,array, Command is the command line to execute inside the container�C the working directory for the command  is root (&apos;/&apos;) in the container&apos;s filesystem. The command is simply exec&apos;d�C it is not run inside a shell�C so traditional shell instructions (&apos;|&apos;�C etc) won&apos;t work. To use a shell�C you need to explicitly call out to that shell. Exit status of 0 is treated as live/healthy and non-zero is unhealthy.
,,,,,,,[string],,,,,,,string, 
,,,,,failureThreshold,,,,,,,,,integer, Minimum consecutive failures for the probe to be considered failed after having succeeded. Defaults to 3. Minimum value is 1.
,,,,,httpGet,,,,,,,,,v1.HTTPGetAction, HTTPGet specifies the http request to perform.
,,,,,,host,,,,,,,,string, Host name to connect to�C defaults to the pod IP. You probably want to set &quot;Host&quot; in httpHeaders instead.
,,,,,,httpHeaders,,,,,,,,array, Custom headers to set in the request. HTTP allows repeated headers.
,,,,,,,name,,,,,,,string, The header field name
,,,,,,,value,,,,,,,string, The header field value
,,,,,,path,,,,,,,,string, Path to access on the HTTP server.
,,,,,,port,,,,,,,,intstr.IntOrString, Name or number of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,,scheme,,,,,,,,string, Scheme to use for connecting to the host. Defaults to HTTP.
,,,,,initialDelaySeconds,,,,,,,,,integer, Number of seconds after the container has started before liveness probes are initiated. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,,periodSeconds,,,,,,,,,integer, How often (in seconds) to perform the probe. Default to 10 seconds. Minimum value is 1.
,,,,,successThreshold,,,,,,,,,integer, Minimum consecutive successes for the probe to be considered successful after having failed. Defaults to 1. Must be 1 for liveness. Minimum value is 1.
,,,,,tcpSocket,,,,,,,,,v1.TCPSocketAction, TCPSocket specifies an action involving a TCP port. TCP hooks not yet supported
,,,,,,host,,,,,,,,string, Optional: Host name to connect to�C defaults to the pod IP.
,,,,,,port,,,,,,,,intstr.IntOrString, Number or name of the port to access on the container. Number must be in the range 1 to 65535. Name must be an IANA_SVC_NAME.
,,,,,timeoutSeconds,,,,,,,,,integer, Number of seconds after which the probe times out. Defaults to 1 second. Minimum value is 1. More info: https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle#container-probes
,,,,resources,,,,,,,,,,v1.ResourceRequirements, Compute Resources required by this container. Cannot be updated. More info: https://kubernetes.io/docs/concepts/storage/persistent-volumes#resources
,,,,,limits,,,,,,,,,object, Limits describes the maximum amount of compute resources allowed. More info: https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/
,,,,,,[string],,,,,,,,string, 
,,,,,requests,,,,,,,,,object, Requests describes the minimum amount of compute resources required. If Requests is omitted for a container�C it defaults to Limits if that is explicitly specified�C otherwise to an implementation-defined value. More info: https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/
,,,,,,[string],,,,,,,,string, 
,,,,securityContext,,,,,,,,,,v1.SecurityContext, Security options the pod should run with. More info: https://kubernetes.io/docs/concepts/policy/security-context/ More info: https://kubernetes.io/docs/tasks/configure-pod-container/security-context/
,,,,,allowPrivilegeEscalation,,,,,,,,,boolean, AllowPrivilegeEscalation controls whether a process can gain more privileges than its parent process. This bool directly controls if the no_new_privs flag will be set on the container process. AllowPrivilegeEscalation is true always when the container is: 1) run as Privileged 2) has CAP_SYS_ADMIN
,,,,,capabilities,,,,,,,,,v1.Capabilities, The capabilities to add/drop when running containers. Defaults to the default set of capabilities granted by the container runtime.
,,,,,,add,,,,,,,,array, Added capabilities
,,,,,,,[string],,,,,,,string, 
,,,,,,drop,,,,,,,,array, Removed capabilities
,,,,,,,[string],,,,,,,string, 
,,,,,privileged,,,,,,,,,boolean, Run container in privileged mode. Processes in privileged containers are essentially equivalent to root on the host. Defaults to false.
,,,,,readOnlyRootFilesystem,,,,,,,,,boolean, Whether this container has a read-only root filesystem. Default is false.
,,,,,runAsGroup,,,,,,,,,integer, The GID to run the entrypoint of the container process. Uses runtime default if unset. May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,runAsNonRoot,,,,,,,,,boolean, Indicates that the container must run as a non-root user. If true�C the Kubelet will validate the image at runtime to ensure that it does not run as UID 0 (root) and fail to start the container if it does. If unset or false�C no such validation will be performed. May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,runAsUser,,,,,,,,,integer, The UID to run the entrypoint of the container process. Defaults to user specified in image metadata if unspecified. May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,seLinuxOptions,,,,,,,,,v1.SELinuxOptions, The SELinux context to be applied to the container. If unspecified�C the container runtime will allocate a random SELinux context for each container.  May also be set in PodSecurityContext.  If set in both SecurityContext and PodSecurityContext�C the value specified in SecurityContext takes precedence.
,,,,,,level,,,,,,,,string, Level is SELinux level label that applies to the container.
,,,,,,role,,,,,,,,string, Role is a SELinux role label that applies to the container.
,,,,,,type,,,,,,,,string, Type is a SELinux type label that applies to the container.
,,,,,,user,,,,,,,,string, User is a SELinux user label that applies to the container.
,,,,stdin,,,,,,,,,,boolean, Whether this container should allocate a buffer for stdin in the container runtime. If this is not set�C reads from stdin in the container will always result in EOF. Default is false.
,,,,stdinOnce,,,,,,,,,,boolean, Whether the container runtime should close the stdin channel after it has been opened by a single attach. When stdin is true the stdin stream will remain open across multiple attach sessions. If stdinOnce is set to true�C stdin is opened on container start�C is empty until the first client attaches to stdin�C and then remains open and accepts data until the client disconnects�C at which time stdin is closed and remains closed until the container is restarted. If this flag is false�C a container processes that reads from stdin will never receive an EOF. Default is false
,,,,terminationMessagePath,,,,,,,,,,string, Optional: Path at which the file to which the container&apos;s termination message will be written is mounted into the container&apos;s filesystem. Message written is intended to be brief final status�C such as an assertion failure message. Will be truncated by the node if greater than 4096 bytes. The total message length across all containers will be limited to 12kb. Defaults to /dev/termination-log. Cannot be updated.
,,,,terminationMessagePolicy,,,,,,,,,,string, Indicate how the termination message should be populated. File will use the contents of terminationMessagePath to populate the container status message on both success and failure. FallbackToLogsOnError will use the last chunk of container log output if the termination message file is empty and the container exited with an error. The log output is limited to 2048 bytes or 80 lines�C whichever is smaller. Defaults to File. Cannot be updated.
,,,,tty,,,,,,,,,,boolean, Whether this container should allocate a TTY for itself�C also requires &apos;stdin&apos; to be true. Default is false.
,,,,volumeDevices,,,,,,,,,,array, volumeDevices is the list of block devices to be used by the container. This is an alpha feature and may change in the future.
,,,,,devicePath,,,,,,,,,string, devicePath is the path inside of the container that the device will be mapped to.
,,,,,name,,,,,,,,,string, name must match the name of a persistentVolumeClaim in the pod
,,,,volumeMounts,,,,,,,,,,array, Pod volumes to mount into the container&apos;s filesystem. Cannot be updated.
,,,,,mountPath,,,,,,,,,string, Path within the container at which the volume should be mounted.  Must not contain &apos;:&apos;.
,,,,,mountPropagation,,,,,,,,,string, mountPropagation determines how mounts are propagated from the host to container and the other way around. When not set�C MountPropagationHostToContainer is used. This field is beta in 1.10.
,,,,,name,,,,,,,,,string, This must match the Name of a Volume.
,,,,,readOnly,,,,,,,,,boolean, Mounted read-only if true�C read-write otherwise (false or unspecified). Defaults to false.
,,,,,subPath,,,,,,,,,string, Path within the volume from which the container&apos;s volume should be mounted. Defaults to &quot;&quot; (volume&apos;s root).
,,,,workingDir,,,,,,,,,,string, Container&apos;s working directory. If not specified�C the container runtime&apos;s default will be used�C which might be configured in the container image. Cannot be updated.
,,,dnsConfig,,,,,,,,,,,v1.PodDNSConfig, Specifies the DNS parameters of a pod. Parameters specified here will be merged to the generated DNS configuration based on DNSPolicy.
,,,,nameservers,,,,,,,,,,array, A list of DNS name server IP addresses. This will be appended to the base nameservers generated from DNSPolicy. Duplicated nameservers will be removed.
,,,,,[string],,,,,,,,,string, 
,,,,options,,,,,,,,,,array, A list of DNS resolver options. This will be merged with the base options generated from DNSPolicy. Duplicated entries will be removed. Resolution options given in Options will override those that appear in the base DNSPolicy.
,,,,,name,,,,,,,,,string, Required.
,,,,,value,,,,,,,,,string, 
,,,,searches,,,,,,,,,,array, A list of DNS search domains for host-name lookup. This will be appended to the base search paths generated from DNSPolicy. Duplicated search paths will be removed.
,,,,,[string],,,,,,,,,string, 
,,,dnsPolicy,,,,,,,,,,,string, Set DNS policy for the pod. Defaults to &quot;ClusterFirst&quot;. Valid values are &apos;ClusterFirstWithHostNet&apos;�C &apos;ClusterFirst&apos;�C &apos;Default&apos; or &apos;None&apos;. DNS parameters given in DNSConfig will be merged with the policy selected with DNSPolicy. To have DNS options set along with hostNetwork�C you have to specify DNS policy explicitly to &apos;ClusterFirstWithHostNet&apos;.
,,,hostAliases,,,,,,,,,,,array, HostAliases is an optional list of hosts and IPs that will be injected into the pod&apos;s hosts file if specified. This is only valid for non-hostNetwork pods.
,,,,hostnames,,,,,,,,,,array, Hostnames for the above IP address.
,,,,,[string],,,,,,,,,string, 
,,,,ip,,,,,,,,,,string, IP address of the host file entry.
,,,hostIPC,,,,,,,,,,,boolean, Use the host&apos;s ipc namespace. Optional: Default to false.
,,,hostNetwork,,,,,,,,,,,boolean, Host networking requested for this pod. Use the host&apos;s network namespace. If this option is set�C the ports that will be used must be specified. Default to false.
,,,hostPID,,,,,,,,,,,boolean, Use the host&apos;s pid namespace. Optional: Default to false.
,,,hostname,,,,,,,,,,,string, Specifies the hostname of the Pod If not specified�C the pod&apos;s hostname will be set to a system-defined value.
